,id,genre_ids,title,overview,poster_path
0,579974,"[28, 18]",RRR,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,/nEufeZlyAOLqO2brrs0yeF1lgXO.jpg
1,256040,"[28, 12, 18, 14]",Bāhubali: The Beginning,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",/9BAjt8nSSms62uOVYn1t3C3dVto.jpg
2,690957,"[28, 18, 53]",Pushpa: The Rise - Part 1,"Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.",/r1yAzVQNbCbPTbB3GZFour9Qr0t.jpg
3,350312,"[28, 12, 14]",Bāhubali 2: The Conclusion,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",/21sC2assImQIYCEDA84Qh9d1RsK.jpg
4,901277,"[80, 53]",CSI Sanatan,"When a buisness tycoon Vikram Chakravarthi gets murdered, CSI Sanatan known for his genius crime-solving abilities is appointed to investigate. Sanatan shortlists five employees as suspects but soon the case takes a turn that shocks the nation.",/yscCuJsNYDh2vHc6VrASnZcbaDw.jpg
5,148265,"[14, 28, 35]",Eega,"Nani is a flower decorator, madly in love with his neighbor Bindhu. He gets killed by the baddie, Sudeep, a powerful businessman. Nani comes back as a housefly to get his revenge.",/gqcPTpQNe2OFMFXB8U7duJ2IHxZ.jpg
6,1034590,"[9648, 53, 27, 14]",Virupaksha,"Set in a village named Rudravanam in 1990's, Surya along with his mother, visit there after a long time. Suddenly a series of mysterious deaths occur due to an unknown person's occult practice and whole village is scared. Will Surya find the person causing the deaths and save the village?",/fqMn4h9ctOyumII2nXDnm5mRTxQ.jpg
7,1096417,"[35, 18]",Sathi Gani Rendu Ekaralu,"Confusion, comedy and violence ensue when a debt ridden thief stumbles upon a suitcase with uncut gems in his farm land.",/nTfvnH68dnKhTJ2vqd0F1wYG8sm.jpg
8,23790,[28],Magadheera,"When Harsha, a bike stunter from Vishakapatnam, accidentally meets Indu, he discovers his warrior life Kala Bhairava in his last birth. The remaining story explains how Indu and Kala Bhairava are connected.",/l1FmwvRwJR7iUP2MAdsY01FUsq5.jpg
9,372399,"[10751, 35, 10749, 18]",A Aa,"The love affair, conspired by creation, between Anasuya Ramalingam and Aanand Vihari.",/pDkmxToe0sNQGNaur5pYWGWFXEX.jpg
10,454292,"[28, 53]",Saaho,"A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.",/rWXIpR2uPkwb1Hrhjj2FA62FGdu.jpg
11,894803,"[10749, 18]",Sita Ramam,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.",/vvxXO0TekcEa7hnXo2qCgB3U3e2.jpg
12,628241,"[28, 35, 18]",Ala Vaikunthapurramuloo,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.",/48DIQOSEgpoWUFBrmHW2En6aNZQ.jpg
13,473234,"[10749, 18, 28]",Arjun Reddy,"When his girlfriend is forced to marry another man, a troubled young surgeon begins to self-destruct.",/kHubDgL59I5hCn7ccBYvU7bKY1r.jpg
14,607313,[28],Sarileru Neekevvaru,A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,/2IhWzaIOowmXattw8Xozwr9rJ76.jpg
15,540468,[10749],Geetha Govindam,"Vijay Govind, a young college lecturer who dreams of marriage falls for Geetha, a level-headed woman who's wary of strangers and isn't easy to convince. While things seem to go smoothly, Vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family.",/sTreb0ajewXqeIqAyZ0IWtafoB5.jpg
16,215248,"[28, 53]",Yevadu,"Satya is given a different face after he suffers burn-related injuries. After being released from the hospital, he deals with the murderer of his lover Deepti. But his new face has given him new foes.",/euSAn9sVeS4Qnaj1ZWDw56gPi9W.jpg
17,679919,"[28, 18]",Acharya,"Acharya, a middle-aged Naxalite-turned-social reformer, launches a fight against the Endowments Department over misappropriation and embezzlement of temple funds and donations.",/hVgTZdg25d8RN2hIHbqSTijdeX1.jpg
18,443635,"[28, 35, 80]",DJ: Duvvada Jagannadham,"A righteous young man who helps everyone gain their rightful justice, gets recruited as an undercover agent to work on a high profile case that involves a crime lord working for a corrupt minister who also happens to be the father of his romantic interest.",/rLJ3xyM5iFCfXNSbDOkGZ5ms6oX.jpg
19,496495,"[18, 36, 10752]",Sye Raa Narasimha Reddy,"Gwalior Fort, during the Indian Rebellion of 1857. In a moment of despair, Lakshmibai, Rani of Jhansi, encourages her men by telling them the heroic story of Uyyalawada Narasimha Reddy, a brave Telugu chieftain who took up arms in 1846 to protest against the numerous arbitrariness and crimes perpetrated by the leaders and military forces of the East India Company.",/uEheujJysophwGaqHWPu1UCPthl.jpg
20,1114702,"[18, 10751]",Vimanam,,/d1FQfGMDGRiPqqG5MTC7DZi4joY.jpg
21,501987,"[18, 28]",Bharat Ane Nenu,"Bharat, a graduate raised in London clueless about the future becomes the Chief Minister of Andhra Pradesh due to the circumstances. New to India and with no political knowledge he learns the ropes quickly and governs efficiently. However, while he endears himself to the crowd, he makes enemies out of the political class, including his own party members who create trouble for him and try to stop him from bringing in changes in the society.",/a0hFV8G0ofyPgPEjVcYrueuxFex.jpg
22,541487,"[18, 28]",Maharshi,"Rishi Kumar is a billionaire and the CEO of Origins, someone who has always strived for the success he now owns. His friend Ravi needs help, how will he come through?",/pV6xLQh54ga8oaQqJtUqLp12LwQ.jpg
23,500494,[28],Naa Peru Surya - Naa Illu India,"Despite having serious anger management issues, Surya, an Indian Army officer is a brilliant officer but when anger takes control of him he is impossible to subdue. In spite of this issue, he achieves his goal of serving the country by overcoming the hurdles.",/46zecZYX8rWeDlr5PosCd1bC1Up.jpg
24,566402,"[28, 18]",Vinaya Vidheya Rama,"Ram is one among the five orphaned boys in Visakhapatnam, adopted by a doctor who ensures them a roof to live under, with dignity. Ram goes to any extent to protect his family and he's a handful for the baddie to handle in a time of crisis. How does Ram protect his family when they need him the most?",/tOjSnrKwI3qVKMHn5ofwc2K3Sm3.jpg
25,868666,"[28, 18, 53]",The Ghost,"An ex-Interpol officer wreaks havoc and sends shock waves across the global underworld but goes missing in action, only to remerge years later, for his beloved family.",/AulIkX8l9u17lcQfEubU8n0cnwk.jpg
26,1130781,"[27, 53]",Boo,"Four friends gather to celebrate Halloween, and they begin reading an intriguing horror novel. Things take a strange turn as they begin to experience bizarre events while reading the book. Will they be able to escape the spirit that haunts them?",/8VszbVarbnPamsVwQAZDUCpIcfG.jpg
27,1093983,"[35, 18]",#MenToo,"Aditya, Sanju, and Munna are friends and regulars to a unique pub named ‘Stags Only’. One day, at the pub, they befriend an IT employee Rahul who lost his job due to sexual harassment allegations. Rahul's destiny triggers a change in the lives of the three friends.",/f3hy4P0yMm7zYXYmaOeueA6BflB.jpg
28,885184,"[28, 53]",Dasara,"In 1990s, Set in small village Veerlapally, Dharani, Vennela, and Suri are childhood friends. Dharani loves Vennela, but she has Suri in her mind. Knowing Suri’s interest in Vennela, Dharani sacrifices his love and helps get them married. But Local politics between Rajanna, Shivanna and the latter's son Chinna Nambi threaten to disrupt their lives.",/xgIbeYWlfzSGHJ8VtawQ4rf52a7.jpg
29,87614,"[18, 28]",Sye,"The story is set in the backdrop of a college that is riven by two groups led by Prithvi and Shashank. Though there is nothing malicious between the groups, they just can't see eye to eye on anything. The only thing common between the two are their abiding passion for rugby. Whenever a problem crops between the two, it is usually settled with a bitter scrum on the rugby field. As it happens, the college land falls into the hands of a local dadha Bikshu Yadav. This is good enough reason for the two groups to forge a common identity and fight for the land. Prithvi and Shashank bury the hatchet and get back the land. This is too much of a bitter pill for the dadha to swallow. And so he dares the students for a rugby match with his own group.",/pp0Eljay7pOt9xaN0FEfE97B3zZ.jpg
30,333876,"[18, 28]",Son of Satyamurthy,"The son of a rich businessman struggles to save his father's wealth after his demise. However, he faces many challenges when he becomes the sole breadwinner of his family.",/oQq3FMD952F8Rnu619O2boTK1Do.jpg
31,605153,"[28, 36, 18]",Major,"This biopic follows the life of Indian Army officer Major Sandeep Unnikrishnan, from his childhood to his heroic actions during the 2008 Mumbai attacks.",/sJOfJuyQVZPwNQ8g21Qv0lojQhC.jpg
32,1129654,[35],Pareshan,"Upcoming comedy movie directed by Rupak Ronaldson, Pandith Vijay Kumar, Aryan Sandy.",/bBZrhlzFOjEQl7vzNosRu1ab2Ke.jpg
33,913046,"[36, 14, 10749]",Shaakuntalam,"Shakuntala, daughter of Meneka and Rishi Vishwamitra lives in forest with her teacher, Rishi Kanva. In the forest she meets King Dushyant, falls in love with him and the two get married. After she has their baby (Prince Bharata), Dushyant leaves her in the forest with a promise to come back for her soon. However, due to a sage's curse, Dushyant forgets all about Shakuntala, until destiny brings them together again.",/6YKaTWjZckGH5lb3cRFHWWIjVk2.jpg
34,1130143,"[35, 10749]",Mem Famous,"After a shattering event that leaves three reckless lazing youngster friends with no hope and mounting debts, the trio must finally pull up their socks and do something worthwhile despite their incompetence.",/nyD8twFBUkkPuqzJBt8EHOh5VNr.jpg
35,673392,"[18, 10749]",Radhe Shyam,"Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?",/8Lj4hi6PhXjSq5yBvNluPH0rlbZ.jpg
36,117058,"[28, 10749]",Desamuduru,"After Bala, who works for a TV channel, gets into trouble with a goon, he is sent away for an out-of-town assignment. There he meets and falls in love with a girl who gets kidnapped by a gangster.",/l9eVUQdGAEf9KPQxUddc7iE7UFS.jpg
37,530581,[10749],365 Days,This film tracks a hasty marriage through its first 365 days.,/AoFyZGDgfrQuH8ptYb41KVnTjJp.jpg
38,534530,"[28, 18]",Aravinda Sametha Veera Raghava,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,/wKuOZdP0i6hlv5veDAUSBZ2mUaK.jpg
39,374954,"[28, 18]",Sarrainodu,"Only one man can stop a villain who, backed by his father, brutally murders anyone who gets in the way of his unscrupulous real estate deals.",/9r4LCgznHZWg2vdxbZRqnlFpKIC.jpg
40,82255,"[18, 35, 10749, 10751]",Nuvvu Naaku Nachav,"Venky and Nandini's relationship changes from mere friendship to something that is more romantic. However, love only blossoms between the two after Nandini's marriage is fixed elsewhere.",/8SU8u4Aez5O5aAABOoKVn1xnqvl.jpg
41,262227,"[35, 28]",Race Gurram,"Ram and Lakshman, aka Lucky, are brothers who are polar opposites in nature. Their mother wishes to see them united.",/rNIsCxgrtOGRDDa4P06tfgKbxua.jpg
42,365187,[28],Nannaku Prematho...,"Subramanyam, a businessman, is on his deathbed when he tells his sons about a cunning man who stole most of his wealth. Hearing this, Abhiram, the youngest son, lays out a plan to seek his revenge.",/t8RGpSw86jKFpxxnjywVBNiuPx7.jpg
43,459713,[18],Mahanati,"Mahanati depicts the life and career of one of Telugu cinema's greatest and most iconic starlets, the first Indian female super star, Savitri.",/9VaFZ5Y5S2YHz7eIlBCRKY9wBJc.jpg
44,466147,"[10749, 28, 53]",Jaya Janaki Nayaka,"Gagan is very much in love with Sweety aka Janaki, a sweet-natured girl, ever willing to lend a helping hand to those in need. But she ends up rejecting Gagan and later finds herself in a situation from which there seems no escape. Why did Sweety reject Gagan and what does he do when he finds her in a dangerous predicament.",/eB2aF05kTEcH9Bhu5JY7BNNrgAm.jpg
